Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
New World blackbirds,Leistes superciliaris,White-browed Meadowlark,Unknown,not applicable,Stable,suspected
Nuthatches,Sitta victoriae,White-browed Nuthatch,1000-2499,inferred,Decreasing,suspected
Typical Owls,Athene superciliaris,White-browed Owl,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Sasia ochracea,White-browed Piculet,Unknown,not applicable,Decreasing,suspected
Tityras and allies,Iodopleura isabellae,White-browed Purpletuft,Unknown,not applicable,Decreasing,suspected
Reed-warblers,Acrocephalus tangorum,White-browed Reed-warbler,2500-9999,estimated,Decreasing,suspected
Australasian robins,Poecilodryas superciliosa,White-browed Robin,Unknown,,Stable,observed
Old World Flycatchers and Chats,Cossypha heuglini,White-browed Robin-chat,Unknown,not applicable,Decreasing,suspected
Scimitar-babblers and allies,Pomatorhinus schisticeps,White-browed Scimitar-babbler,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Cercotrichas leucophrys,White-browed Scrub-robin,Unknown,not applicable,Stable,suspected
Thornbills,Sericornis frontalis,White-browed Scrubwren,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Copsychus luzoniensis,White-browed Shama,Unknown,not applicable,Decreasing,suspected
Vireos,Pteruthius aeralatus,White-browed Shrike-babbler,Unknown,not applicable,Decreasing,suspected
Weavers,Plocepasser mahali,White-browed Sparrow-Weaver,Unknown,not applicable,Stable,suspected
Ovenbirds,Hellmayrea gularis,White-browed Spinetail,Unknown,not applicable,Decreasing,suspected
Tapaculos,Scytalopus superciliaris,White-browed Tapaculo,Unknown,not applicable,Decreasing,suspected
Tits and chickadees,Poecile superciliosus,White-browed Tit,Unknown,not applicable,Stable,suspected
Ovenbirds,Leptasthenura xenothorax,White-browed Tit-spinetail,8500-30000,estimated,Decreasing,suspected
Long-tailed Tits,Leptopoecile sophiae,White-browed Tit-warbler,Unknown,not applicable,Decreasing,suspected
Australasian Treecreepers,Climacteris affinis,White-browed Treecreeper,Unknown,not applicable,Decreasing,suspected
Pipits and Wagtails,Motacilla maderaspatensis,White-browed Wagtail,Unknown,not applicable,Stable,suspected
Woodswallows and Butcherbirds,Artamus superciliosus,White-browed Woodswallow,Unknown,not applicable,Stable,suspected
Wrens,Thryothorus albinucha,White-browed Wren,Unknown,not applicable,Increasing,estimated
Albatrosses,Thalassarche steadi,White-capped Albatross,203600,estimated,Decreasing,suspected
Old World Buntings,Emberiza stewarti,White-capped Bunting,Unknown,not applicable,Stable,suspected
Dippers,Cinclus leucocephalus,White-capped Dipper,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Ptilinopus dupetithouarsii,White-capped Fruit-dove,Unknown,not applicable,Decreasing,suspected
Monarch-flycatchers,Monarcha richardsii,White-capped Monarch,Unknown,not applicable,Decreasing,suspected
Waxbills,Lonchura ferruginosa,White-capped Munia,Unknown,not applicable,Stable,suspected
Parrots,Pionus seniloides,White-capped Parrot,Unknown,not applicable,Decreasing,suspected
Tanagers,Sericossypha albocristata,White-capped Tanager,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Phoenicurus leucocephalus,White-capped Water-redstart,Unknown,not applicable,Stable,suspected
Typical Antbirds,Gymnopithys leucaspis,White-cheeked Antbird,Unknown,,Decreasing,suspected
Asian Barbets,Psilopogon viridis,White-cheeked Barbet,Unknown,not applicable,Decreasing,suspected
Finches,Pyrrhula leucogenis,White-cheeked Bullfinch,Unknown,not applicable,Decreasing,suspected
Cotingas,Zaratornis stresemanni,White-cheeked Cotinga,2500-9999,suspected,Decreasing,inferred
Honeyeaters,Phylidonyris niger,White-cheeked Honeyeater,Unknown,not applicable,Stable,suspected
Laughingthrushes and allies,Pterorhinus vassali,White-cheeked Laughingthrush,Unknown,not applicable,Unknown,suspected
Nuthatches,Sitta leucopsis,White-cheeked Nuthatch,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Arborophila atrogularis,White-cheeked Partridge,Unknown,not applicable,Decreasing,suspected
"Ducks, Geese, Swans",Anas bahamensis,White-cheeked Pintail,118000-720000,estimated,Decreasing,suspected
Starlings,Spodiopsar cineraceus,White-cheeked Starling,Unknown,not applicable,Unknown,not applicable
"Gulls, Terns, Skimmers",Sterna repressa,White-cheeked Tern,400000,estimated,Decreasing,suspected
Long-tailed Tits,Aegithalos leucogenys,White-cheeked Tit,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Poecilotriccus albifacies,White-cheeked Tody-flycatcher,Unknown,not applicable,Decreasing,suspected
Turacos,Tauraco leucotis,White-cheeked Turaco,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Chamaetylas fuelleborni,White-chested Alethe,Unknown,not applicable,Decreasing,suspected
Ground babblers,Pellorneum rostratum,White-chested Babbler,500000-2000000,estimated,Decreasing,inferred
Hummingbirds,Chrysuronia brevirostris,White-chested Emerald,Unknown,not applicable,Stable,suspected
Puffbirds,Malacoptila fusca,White-chested Puffbird,Unknown,not applicable,Decreasing,suspected
Swifts,Cypseloides lemosi,White-chested Swift,Unknown,not applicable,Decreasing,suspected
African barbets,Pogoniulus makawai,White-chested Tinkerbird,Unknown,not applicable,Unknown,not applicable
White-eyes and Yuhinas,Zosterops albogularis,White-chested White-eye,0,estimated,,not applicable
Jacamars,Galbula tombacea,White-chinned Jacamar,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Myzomela albigula,White-chinned Myzomela,Unknown,not applicable,Unknown,not applicable
"Petrels, Shearwaters",Procellaria aequinoctialis,White-chinned Petrel,3000000,estimated,Decreasing,inferred
Cisticolas and allies,Schistolais leucopogon,White-chinned Prinia,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Chlorestes cyanus,White-chinned Sapphire,Unknown,not applicable,Decreasing,not applicable
Swifts,Cypseloides cryptus,White-chinned Swift,20000-49999,estimated,Decreasing,suspected
Ovenbirds,Asthenes fuliginosa,White-chinned Thistletail,Unknown,not applicable,Stable,suspected
Thrushes,Turdus aurantius,White-chinned Thrush,Unknown,not applicable,Stable,suspected
Ovenbirds,Dendrocincla merula,White-chinned Woodcreeper,Unknown,not applicable,Decreasing,suspected
Thrushes,Turdus albocinctus,White-collared Blackbird,Unknown,not applicable,Decreasing,not applicable
Ovenbirds,Anabazenops fuscus,White-collared Foliage-gleaner,Unknown,not applicable,Decreasing,suspected
Crows and jays,Cyanolyca viridicyanus,White-collared Jay,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Leptodon forbesi,White-collared Kite,250-999,estimated,Decreasing,suspected
Manakins,Manacus candei,White-collared Manakin,50000-499999,suspected,Decreasing,suspected
Monarch-flycatchers,Symposiachrus vidua,White-collared Monarch,Unknown,not applicable,Decreasing,suspected
Waxbills,Nesocharis ansorgei,White-collared Oliveback,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Columba albitorques,White-collared Pigeon,Unknown,not applicable,Stable,suspected
Tanagers,Sporophila morelleti,White-collared Seedeater,14000000,inferred,Increasing,suspected
Starlings,Grafisia torquata,White-collared Starling,Unknown,not applicable,Decreasing,suspected
Swifts,Streptoprocne zonaris,White-collared Swift,5000000-50000000,estimated,Decreasing,suspected
White-eyes and Yuhinas,Parayuhina diademata,White-collared Yuhina,Unknown,not applicable,Decreasing,not applicable
Hummingbirds,Lophornis adorabilis,White-crested Coquette,20000-49999,suspected,Decreasing,suspected
Tyrant-flycatchers,Elaenia albiceps,White-crested Elaenia,Unknown,not applicable,Decreasing,suspected
"Guans, Chachalacas, Curassows",Penelope pileata,White-crested Guan,Unknown,not applicable,Decreasing,inferred
Vangas and allies,Prionops plumatus,White-crested Helmetshrike,Unknown,not applicable,Stable,suspected
Laughingthrushes and allies,Garrulax leucolophus,White-crested Laughingthrush,Unknown,,Decreasing,suspected
Tyrant-flycatchers,Platyrinchus platyrhynchos,White-crested Spadebill,Unknown,not applicable,Decreasing,suspected
Herons,Tigriornis leucolopha,White-crested Tiger-heron,Unknown,estimated,Decreasing,inferred
Turacos,Tauraco leucolophus,White-crested Turaco,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Serpophaga subcristata,White-crested Tyrannulet,Unknown,not applicable,Stable,suspected
Cuckoos,Caliechthrus leucolophus,White-crowned Cuckoo,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Enicurus leschenaulti,White-crowned Forktail,Unknown,not applicable,Stable,suspected
Hornbills,Berenicornis comatus,White-crowned Hornbill,Unknown,not applicable,Decreasing,inferred
Plovers,Vanellus albiceps,White-crowned Lapwing,37300-85300,estimated,Decreasing,suspected
Manakins,Pseudopipra pipra,White-crowned Manakin,Unknown,not applicable,Stable,suspected
Parrots,Pionus senilis,White-crowned Parrot,50000-499999,suspected,Decreasing,inferred
Penduline-tits,Remiz coronatus,White-crowned Penduline-tit,Unknown,not applicable,Decreasing,estimated
"Pigeons, Doves",Patagioenas leucocephala,White-crowned Pigeon,550000,estimated,Decreasing,inferred
Old World Flycatchers and Chats,Cossypha albicapillus,White-crowned Robin-chat,Unknown,not applicable,Stable,suspected
New World sparrows,Zonotrichia leucophrys,White-crowned Sparrow,79000000,estimated,Stable,estimated
Starlings,Lamprotornis albicapillus,White-crowned Starling,Unknown,not applicable,Stable,suspected
Tapaculos,Scytalopus atratus,White-crowned Tapaculo,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Oenanthe leucopyga,White-crowned Wheatear,Unknown,not applicable,Stable,suspected
African barbets,Stactolaema leucotis,White-eared Barbet,Unknown,not applicable,Decreasing,suspected
Cuckoos,Chalcites meyerii,White-eared Bronze-cuckoo,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Phapitreron leucotis,White-eared Brown-dove,Unknown,not applicable,Decreasing,suspected
Bulbuls,Pycnonotus leucotis,White-eared Bulbul,Unknown,not applicable,Decreasing,suspected
Bowerbirds,Ailuroedus buccoides,White-eared Catbird,Unknown,not applicable,Decreasing,inferred
Tanagers,Conirostrum leucogenys,White-eared Conebill,500000-4999999,suspected,Decreasing,suspected
New World sparrows,Melozone leucotis,White-eared Ground-sparrow,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Nesoptilotis leucotis,White-eared Honeyeater,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Basilinna leucotis,White-eared Hummingbird,2000000,suspected,Decreasing,suspected
Jacamars,Galbalcyrhynchus leucotis,White-eared Jacamar,Unknown,not applicable,Decreasing,suspected
Monarch-flycatchers,Carterornis leucotis,White-eared Monarch,Unknown,not applicable,Stable,suspected
Honeyeaters,Myza sarasinorum,White-eared Myza,Unknown,not applicable,Decreasing,inferred
Herons,Oroanassa magnifica,White-eared Night Heron,250-999,estimated,Decreasing,suspected
Parrots,Pyrrhura leucotis,White-eared Parakeet,2500-9999,estimated,Decreasing,suspected
Puffbirds,Nystalus chacuru,White-eared Puffbird,Unknown,not applicable,Decreasing,suspected
Laughingthrushes and allies,Heterophasia auricularis,White-eared Sibia,Unknown,not applicable,Stable,suspected
Thrushes,Entomodestes leucotis,White-eared Solitaire,Unknown,not applicable,Decreasing,suspected
Cisticolas and allies,Orthotomus cinereiceps,White-eared Tailorbird,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Icterus graceannae,White-edged Oriole,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Attila bolivianus,White-eyed Attila,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Butastur teesa,White-eyed Buzzard,Unknown,estimated,Stable,suspected
Ovenbirds,Automolus leucophthalmus,White-eyed Foliage-gleaner,Unknown,not applicable,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus leucophthalmus,White-eyed Gull,35800-37800,estimated,Stable,suspected
Parrots,Psittacara leucophthalmus,White-eyed Parakeet,Unknown,not applicable,Decreasing,suspected
Swallows and martins,Eurochelidon sirintarae,White-eyed River Martin,Jan-49,estimated,Decreasing,suspected
Australasian robins,Pachycephalopsis poliosoma,White-eyed Robin,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Melaenornis fischeri,White-eyed Slaty-flycatcher,Unknown,not applicable,Decreasing,suspected
Starlings,Aplonis brunneicapillus,White-eyed Starling,1000-2499,estimated,Decreasing,suspected
Typical Antbirds,Epinecrophylla leucophthalma,White-eyed Stipplethroat,Unknown,not applicable,Decreasing,inferred
Thrushes,Turdus jamaicensis,White-eyed Thrush,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Hemitriccus zosterops,White-eyed Tody-tyrant,Unknown,,Decreasing,suspected
Vireos,Vireo griseus,White-eyed Vireo,24000000,inferred,Increasing,inferred
Parrots,Amazona kawalli,White-faced Amazon,Unknown,not applicable,Decreasing,suspected
African barbets,Pogonornis macclounii,White-faced Barbet,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Turacoena manadensis,White-faced Cuckoo-Dove,Unknown,not applicable,Decreasing,suspected
Herons,Egretta novaehollandiae,White-faced Heron,Unknown,estimated,Unknown,not applicable
"Ibises, Spoonbills",Plegadis chihi,White-faced Ibis,Unknown,estimated,Increasing,suspected
Crows and jays,Garrulus leucotis,White-faced Jay,Unknown,estimated,Decreasing,suspected
Puffbirds,Hapaloptila castanea,White-faced Nunbird,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Arborophila orientalis,White-faced Partridge,"4000-20000, 10000-20000",suspected,Decreasing,inferred
Plovers,Charadrius dealbatus,White-faced Plover,25000-250000,suspected,Unknown,not applicable
"Pigeons, Doves",Zentrygon albifacies,White-faced Quail-Dove,50000-499999,estimated,Decreasing,suspected
Australasian robins,Tregellasia leucops,White-faced Robin,Unknown,not applicable,Decreasing,suspected
Starlings,Sturnornis albofrontatus,White-faced Starling,2500-9999,estimated,Decreasing,suspected
Southern Storm-petrels,Pelagodroma marina,White-faced Storm-petrel,Unknown,estimated,Decreasing,suspected
"Ducks, Geese, Swans",Dendrocygna viduata,White-faced Whistling-duck,1410000-1700000,estimated,Increasing,suspected
New World warblers,Myioborus albifacies,White-faced Whitestart,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Myrmotherula axillaris,White-flanked Antwren,Unknown,not applicable,Decreasing,suspected
Sunbirds,Aethopyga eximia,White-flanked Sunbird,Unknown,not applicable,Decreasing,suspected
Parrots,Amazona albifrons,White-fronted Amazon,Unknown,estimated,Increasing,suspected
Bee-eaters,Merops bullockoides,White-fronted Bee-eater,Unknown,not applicable,Increasing,suspected
Old World Flycatchers and Chats,Oenanthe albifrons,White-fronted Black-chat,Unknown,not applicable,Stable,suspected
Honeyeaters,Epthianura albifrons,White-fronted Chat,Unknown,not applicable,Increasing,suspected
"Falcons, Caracaras",Microhierax latifrons,White-fronted Falconet,10000-19999,suspected,Decreasing,inferred
Fantails,Rhipidura melanolaema,White-fronted Fantail,Unknown,,Decreasing,suspected
Tyrant-flycatchers,Muscisaxicola albifrons,White-fronted Ground-tyrant,Unknown,not applicable,Stable,suspected
Honeyeaters,Purnella albifrons,White-fronted Honeyeater,Unknown,not applicable,Stable,suspected
Manakins,Lepidothrix serena,White-fronted Manakin,Unknown,not applicable,Decreasing,suspected
Puffbirds,Monasa morphoeus,White-fronted Nunbird,5000000-50000000,estimated,Decreasing,inferred
Plovers,Charadrius marginatus,White-fronted Plover,57300-83300,estimated,Unknown,suspected
"Pigeons, Doves",Geotrygon leucometopia,White-fronted Quail-Dove,600-1700,estimated,Decreasing,inferred
Typical Owls,Otus sagittatus,White-fronted Scops-owl,2500-9999,estimated,Decreasing,suspected
Swifts,Cypseloides storeri,White-fronted Swift,20000-49999,estimated,Unknown,not applicable
"Gulls, Terns, Skimmers",Sterna striata,White-fronted Tern,6120-25120,estimated,Decreasing,suspected
Tits and chickadees,Sittiparus semilarvatus,White-fronted Tit,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Phyllomyias zeledoni,White-fronted Tyrannulet,Unknown,not applicable,Decreasing,suspected
Batises and Wattle-eyes,Platysteira albifrons,White-fronted Wattle-eye,Unknown,not applicable,Decreasing,suspected
New World warblers,Myioborus albifrons,White-fronted Whitestart,Unknown,not applicable,Stable,suspected
Woodpeckers,Melanerpes cactorum,White-fronted Woodpecker,Unknown,not applicable,Decreasing,inferred
